knapPI_9_50_100000_1
n 50
c 10009942
z 99748
time 0.00
1,485,10005093,0
2,56326,10004505,0
3,79248,10004415,0
4,45421,10000991,0
5,80322,10006648,0
6,15795,10009236,0
7,58043,10006456,0
8,42845,10007814,0
9,24955,10009445,0
10,49252,10003421,0
11,61009,10008790,0
12,25901,10009358,0
13,81122,10005666,0
14,81094,10001597,0
15,38738,10002006,0
16,88574,10000543,0
17,65715,10005333,0
18,78882,10002765,0
19,31367,10003993,0
20,59984,10009892,0
21,73299,10002632,0
22,49433,10007130,0
23,15682,10005427,0
24,90072,10006699,0
25,97874,10000616,0
26,138,10005873,0
27,53856,10007719,0
28,87145,10004418,0
29,37995,10009793,0
30,91529,10008195,0
31,36199,10005996,0
32,83277,10003115,0
33,80097,10005907,0
34,59719,10005538,0
35,35242,10005706,0
36,36107,10008568,0
37,41122,10005536,0
38,41070,10000930,0
39,76098,10005725,0
40,53600,10005486,0
41,36645,10009771,0
42,7267,10007512,0
43,41972,10002080,0
44,9895,10009942,0
45,83213,10008057,0
46,99748,10004302,1
47,89487,10003763,0
48,71923,10006535,0
49,17029,10000723,0
50,25674,10003788,0
-----
