knapPI_2_50_1000_1
n 50
c 995
z 1396
time 0.00
1,482,485,0
2,257,326,0
3,286,248,0
4,517,421,1
5,404,322,0
6,713,795,0
7,45,43,0
8,924,845,0
9,873,955,0
10,160,252,0
11,1,9,0
12,838,901,0
13,40,122,0
14,58,94,0
15,676,738,0
16,627,574,0
17,766,715,0
18,862,882,0
19,405,367,0
20,923,984,0
21,379,299,0
22,461,433,0
23,612,682,0
24,133,72,1
25,813,874,0
26,97,138,0
27,908,856,0
28,165,145,0
29,996,995,0
30,623,529,0
31,220,199,0
32,298,277,0
33,157,97,1
34,723,719,0
35,144,242,0
36,48,107,0
37,129,122,1
38,148,70,1
39,35,98,0
40,644,600,0
41,632,645,0
42,272,267,0
43,1040,972,0
44,977,895,0
45,312,213,1
46,778,748,0
47,567,487,0
48,965,923,0
49,1,29,0
50,616,674,0
-----
